date,model,start_configuration,complete_configuration,finance_calculator_visits,test_drives_submitted,finance_calc_leads_submitted,request_a_quote_form_submitted,showrooms_visits,visits,natural_search_visits,paid_search_visits,paid_social_visits,email_visits,direct_visits,bounces,return_visitors,unique_visitors,quality_arrivals
"Nov 30, 2023",Model_C,531,152,375,0,1,10,1081,1642,853,344,0,55,209,55,593,1516,532
"Feb 27, 2023",Model_B,1032,397,253,2,3,22,1386,2017,1012,604,0,76,197,20,691,1856,1040
"Mar 22, 2023",Model_B,1057,325,174,1,2,4,1285,1944,914,659,0,89,190,15,673,1789,1072
"Nov 21, 2023",Model_E,241,77,51,3,0,2,354,782,367,198,0,90,76,4,304,752,241
"Apr 22, 2023",Model_D,974,351,149,3,1,4,2118,2759,1308,700,0,101,215,457,1034,2476,981
"Apr 25, 2023",Model_B,948,313,157,3,1,8,765,1386,664,505,0,54,135,10,498,1272,965
"Apr 9, 2023",Model_F,251,77,94,4,0,0,973,1251,693,296,0,13,173,105,394,1170,251
"Apr 13, 2023",Model_E,270,75,47,7,0,4,913,1042,703,140,0,1,121,96,343,982,272
"May 6, 2023",Model_D,783,269,109,3,0,10,1790,2302,1183,709,0,77,211,464,855,2092,784
"May 16, 2023",Model_F,304,83,86,3,0,2,1180,1619,968,300,0,32,156,200,629,1501,306
"Apr 26, 2023",Model_D,960,316,147,5,0,0,2110,2716,1242,725,0,160,256,432,1023,2494,961
"Apr 12, 2023",Model_E,222,77,63,6,0,5,828,957,704,118,0,4,115,105,337,890,223
"May 19, 2023",Model_B,912,274,511,1,2,0,851,1943,749,629,0,118,207,27,734,1747,926
"Sep 13, 2023",Model_C,877,268,105,7,0,6,1443,2018,1140,547,0,66,194,75,772,1843,880
"Sep 4, 2023",Model_B,956,329,189,2,3,8,792,1570,655,583,0,77,207,5,565,1391,967
"Sep 17, 2023",Model_C,865,277,151,2,1,8,1640,2250,1247,685,0,65,179,86,744,2081,873
"Aug 25, 2023",Model_A,1535,594,872,5,1,10,3078,4642,1989,1632,0,239,421,400,1520,4274,1544
"Sep 19, 2023",Model_B,1062,399,173,3,3,14,1028,1831,779,592,0,97,276,5,684,1654,1072
"Jan 7, 2023",Model_A,1499,612,220,4,0,6,2250,3020,2624,60,0,5,298,105,902,2780,1513
"Jan 14, 2023",Model_D,929,366,150,6,0,8,1724,2337,1259,777,0,20,271,58,760,2065,935
"Jul 17, 2023",Model_C,881,223,125,4,0,8,858,1447,715,497,0,56,154,7,586,1310,885
"Jun 26, 2023",Model_D,869,299,138,2,0,6,1837,2401,1230,711,0,49,234,376,877,2194,872
"Jul 20, 2023",Model_B,932,278,131,2,0,11,759,1415,648,510,0,47,193,8,509,1282,948
"Jul 23, 2023",Model_E,550,221,82,2,0,2,557,1357,673,360,0,10,130,7,426,1289,551
"Sep 23, 2023",Model_F,332,152,117,5,0,4,1299,1589,990,82,0,9,294,42,501,1494,338
"Nov 1, 2023",Model_D,559,195,64,2,0,6,1221,1621,898,428,0,58,141,75,595,1470,560
"Oct 2, 2023",Model_C,812,273,77,5,0,12,1457,1928,1246,467,0,40,149,83,737,1754,816
"Oct 15, 2023",Model_E,238,78,34,2,0,0,336,731,327,262,0,3,101,4,249,696,239
"Oct 21, 2023",Model_C,746,243,90,1,0,8,1466,1986,1097,576,0,44,205,88,692,1782,753
"Nov 3, 2023",Model_E,245,81,30,2,0,0,317,666,340,224,0,6,80,3,281,632,246
"Aug 12, 2023",Model_E,501,192,58,3,0,0,431,1320,559,472,0,9,150,3,390,1245,504
"Jan 29, 2023",Model_D,1194,493,161,9,0,2,2319,2974,1449,1192,0,10,347,73,949,2666,1205
"Apr 29, 2023",Model_D,819,294,134,8,1,4,2069,2642,1255,688,0,98,234,435,928,2397,825
"Jul 14, 2023",Model_D,841,264,119,5,1,8,1837,2341,1093,935,0,56,239,174,874,2130,843
"Aug 22, 2023",Model_E,358,138,96,1,0,4,378,1138,499,302,0,46,160,7,434,1055,359
"Jun 8, 2023",Model_A,1262,421,185,1,1,0,2149,2869,1839,684,0,31,251,359,904,2686,1278
"Jun 11, 2023",Model_B,904,315,161,1,4,2,726,1344,694,407,0,34,168,5,474,1219,925
"Jun 10, 2023",Model_F,176,59,59,3,0,0,868,1095,610,247,0,10,95,144,352,1007,176
"May 26, 2023",Model_B,828,284,112,2,3,8,685,1251,612,407,0,72,144,7,458,1138,835
"May 30, 2023",Model_D,777,243,138,2,1,2,1861,2415,1339,523,0,92,176,406,911,2195,781
"Aug 25, 2023",Model_D,1028,406,921,7,1,16,1913,3396,1584,683,0,250,315,173,1328,3015,1040
"Aug 28, 2023",Model_D,872,393,793,4,1,14,1867,3158,1426,678,0,174,285,145,1135,2859,896
"Aug 20, 2023",Model_D,791,275,258,8,2,6,1449,2092,1157,494,0,51,232,123,736,1872,800
"Oct 16, 2023",Model_C,876,282,105,1,0,0,1538,2090,1207,523,0,50,216,88,747,1930,877
"Nov 9, 2023",Model_E,254,74,40,3,0,4,378,747,402,232,0,9,78,4,310,699,254
"Oct 16, 2023",Model_F,318,114,107,3,0,0,1023,1341,856,339,0,18,209,29,500,1229,319
"Nov 18, 2023",Model_A,1663,607,1559,3,4,22,2734,4886,1781,1326,0,272,765,334,1586,4485,1698
"Sep 26, 2023",Model_F,339,129,113,6,0,4,1406,1692,1091,79,0,22,266,33,592,1554,342
"Aug 12, 2023",Model_C,880,263,114,3,0,6,1404,1936,1054,570,0,60,228,72,646,1764,885
"Aug 15, 2023",Model_E,409,135,40,5,0,2,316,1049,484,307,0,30,78,5,417,1003,409
"Sep 12, 2023",Model_B,1186,429,186,1,1,10,1084,1932,801,697,0,83,250,11,735,1759,1196
"Oct 1, 2023",Model_D,875,310,88,4,1,8,3073,3569,1075,547,0,88,276,490,1032,3380,883
"Jan 28, 2023",Model_E,329,131,63,4,0,0,890,1006,692,205,0,0,125,167,295,947,333
"Oct 1, 2023",Model_B,1100,432,110,5,0,6,915,1687,954,420,0,52,220,12,642,1490,1112
"Nov 7, 2023",Model_A,1742,589,147,3,0,6,2904,3862,1886,982,0,374,376,350,1251,3542,1749
"Nov 17, 2023",Model_A,1763,655,2690,0,7,16,3882,7039,1904,1163,0,2167,1033,383,2286,6508,1795
"Nov 28, 2023",Model_E,178,59,65,4,0,0,271,608,264,192,0,5,69,1,248,588,179
"Nov 19, 2023",Model_D,500,188,297,4,0,2,1749,2344,811,555,0,31,227,329,816,2188,505
"Dec 12, 2023",Model_A,1140,197,106,4,0,4,2289,2979,1583,786,0,88,313,337,952,2779,1147
"Oct 8, 2023",Model_B,930,360,129,0,0,6,757,1443,674,514,0,44,185,3,533,1292,934
"Sep 2, 2023",Model_B,1068,400,222,3,0,12,865,1723,583,752,0,88,219,7,605,1508,1072
"Feb 1, 2023",Model_E,289,110,68,5,0,6,825,986,654,189,0,3,113,134,349,926,289
"Dec 1, 2023",Model_C,456,137,78,1,0,2,972,1277,698,361,0,40,125,58,491,1180,456
"Dec 28, 2023",Model_F,176,48,49,2,0,0,855,1059,531,375,0,4,110,70,330,999,176
"Aug 27, 2023",Model_C,829,297,190,2,0,2,1542,2139,1009,800,0,41,209,85,706,1983,837
"Aug 30, 2023",Model_E,444,167,70,11,0,0,517,1283,539,420,0,53,112,3,476,1214,446
"Dec 12, 2023",Model_E,228,42,37,2,0,2,321,635,332,178,0,29,69,2,273,600,230
"Dec 8, 2023",Model_E,247,74,23,0,0,0,268,601,307,178,0,5,82,1,248,561,247
"Aug 17, 2023",Model_F,279,96,142,6,0,0,1347,1629,802,404,0,13,259,35,566,1507,284
"Sep 3, 2023",Model_F,233,92,112,1,0,0,1175,1478,617,409,0,14,260,22,458,1389,235
"Aug 8, 2023",Model_E,428,158,40,5,0,0,350,1162,551,303,0,28,142,4,445,1089,430
"Sep 9, 2023",Model_C,787,219,111,4,0,10,1261,1769,949,570,0,50,155,63,632,1591,794
"Sep 9, 2023",Model_E,333,127,60,3,0,2,311,940,442,334,0,14,85,3,361,885,334
"Sep 10, 2023",Model_E,354,119,49,4,0,2,289,965,473,299,0,6,108,1,354,905,359
"Sep 3, 2023",Model_B,999,378,241,0,0,4,846,1620,561,726,0,51,202,4,578,1466,1008
"Feb 17, 2023",Model_E,256,93,76,3,0,0,873,1038,690,208,0,14,123,141,340,995,256
"Dec 24, 2023",Model_B,490,166,74,0,0,4,446,793,373,290,0,5,107,2,242,728,495
"Aug 11, 2023",Model_E,392,156,46,6,0,0,310,1033,460,311,0,10,103,4,400,984,394
"Sep 11, 2023",Model_B,1110,427,213,1,0,15,960,1872,811,665,0,83,245,12,727,1677,1121
"Sep 15, 2023",Model_D,678,225,171,3,2,4,1845,2470,1102,518,0,230,224,187,930,2279,684
"Sep 24, 2023",Model_B,1140,444,177,3,0,6,881,1697,1176,98,0,84,255,7,575,1518,1151
"Feb 27, 2023",Model_D,993,378,130,2,0,9,1656,2353,1301,543,0,155,205,56,867,2064,999
"Feb 20, 2023",Model_C,1439,404,139,8,2,3,2038,2819,1157,1030,0,128,252,13,1011,2543,1444
"Sep 7, 2023",Model_E,365,76,51,9,0,8,326,1050,510,357,0,19,94,3,428,998,367
"Sep 10, 2023",Model_D,753,272,154,5,1,4,2190,2807,1243,544,0,57,431,443,837,2591,758
"Sep 30, 2023",Model_C,608,172,67,3,0,0,1346,1735,1342,131,0,42,170,108,599,1594,610
"Oct 16, 2023",Model_E,297,90,38,5,0,2,360,776,417,218,0,9,75,4,322,728,298
"Oct 8, 2023",Model_E,236,85,37,2,0,0,350,683,312,247,0,5,95,5,252,649,237
"Jan 24, 2023",Model_C,1119,332,146,7,2,6,1692,2346,1223,809,0,19,289,15,853,2139,1128
"Apr 26, 2023",Model_E,255,58,42,1,0,2,967,1115,691,260,0,18,129,101,414,1048,256
"Feb 27, 2023",Model_E,252,95,50,1,0,2,781,915,624,152,0,8,93,103,311,870,252
"Mar 1, 2023",Model_E,726,215,109,1,0,4,1738,2179,1212,339,0,139,246,264,756,2018,728
"Feb 20, 2023",Model_A,1838,751,261,2,0,16,2711,3783,1983,1350,0,47,323,129,1297,3477,1852
"Jun 29, 2023",Model_A,1445,541,180,3,1,6,2167,3030,1732,924,0,25,311,271,996,2767,1457
"Jun 28, 2023",Model_A,1535,554,184,3,0,6,2163,3023,1819,850,0,18,270,259,1004,2793,1545
"Jul 2, 2023",Model_A,1558,545,189,1,1,2,2306,3123,1779,1025,0,8,291,255,945,2853,1572
"Jul 11, 2023",Model_B,1034,365,226,2,6,12,823,1590,772,554,0,43,187,7,607,1391,1054
"Aug 4, 2023",Model_B,1217,412,193,1,1,12,999,1770,682,702,0,111,208,8,656,1565,1230
"Jul 27, 2023",Model_E,447,138,69,3,0,8,531,1324,644,340,0,42,128,5,476,1266,448
"Jul 31, 2023",Model_A,1727,554,203,5,0,12,2767,3853,2154,1169,0,29,442,313,1248,3532,1750
"Jul 21, 2023",Model_D,760,242,112,4,0,4,1672,2153,1063,692,0,111,253,153,814,1968,763
"Jul 27, 2023",Model_B,1040,294,202,0,1,10,968,1644,786,538,0,80,203,5,607,1453,1057
"Aug 5, 2023",Model_C,766,209,120,0,0,0,1425,1883,968,653,0,69,190,56,633,1728,769
"Aug 21, 2023",Model_C,818,285,479,2,1,10,1751,2720,1243,627,0,455,210,88,952,2513,827
"Aug 18, 2023",Model_D,922,321,234,2,0,2,1597,2270,1284,529,0,77,226,124,884,2036,929
"Aug 27, 2023",Model_A,1355,573,787,2,6,17,2728,4118,1722,1614,0,72,371,388,1182,3804,1391
"Aug 30, 2023",Model_C,888,270,190,3,2,4,1594,2202,1138,717,0,61,179,96,792,2024,896
"Aug 9, 2023",Model_D,816,285,106,6,0,4,1435,2060,1191,409,0,96,235,103,754,1862,818
"Sep 30, 2023",Model_E,289,104,35,4,0,0,377,709,426,114,0,4,94,1,253,666,292
"Sep 2, 2023",Model_A,1387,574,757,0,1,4,2725,4072,1602,1612,0,201,393,397,1287,3736,1403
"Oct 2, 2023",Model_A,1804,638,113,1,1,11,2704,3780,2151,1092,0,40,387,365,1282,3393,1809
"Oct 11, 2023",Model_F,339,115,82,4,1,0,1056,1349,849,377,0,17,240,26,470,1236,343
"Oct 18, 2023",Model_D,817,261,97,4,0,6,2579,3088,918,587,0,51,189,522,974,2895,823
"Sep 5, 2023",Model_C,902,254,134,2,0,6,1750,2346,1071,713,0,336,219,125,863,2129,910
"Oct 9, 2023",Model_E,279,86,31,3,0,0,386,801,434,233,0,8,94,5,316,765,283
"Oct 19, 2023",Model_A,1800,644,181,3,0,14,2726,3877,2270,929,0,30,389,358,1257,3550,1810
"Oct 22, 2023",Model_D,701,263,106,1,1,2,1839,2368,907,566,0,35,156,324,799,2201,705
"Feb 19, 2023",Model_D,1075,503,174,5,0,2,1946,2652,1330,876,0,115,247,62,864,2351,1080
"Jan 6, 2023",Model_E,265,106,53,1,0,4,748,870,739,9,0,1,103,100,294,816,266
"Nov 13, 2023",Model_D,518,201,202,1,0,6,1710,2247,853,431,0,49,169,265,791,2132,522
"Nov 24, 2023",Model_D,567,201,220,4,0,0,2525,3088,819,432,0,107,185,540,1012,2916,568
"Feb 2, 2023",Model_D,1031,407,176,6,0,6,1927,2567,1276,941,0,22,315,66,902,2300,1039
"Sep 2, 2023",Model_E,349,120,66,4,0,4,331,937,425,316,0,13,107,1,342,887,349
"Oct 10, 2023",Model_A,1769,611,178,4,1,6,2600,3759,2273,766,0,31,385,322,1259,3433,1786
"Nov 3, 2023",Model_B,691,259,134,1,0,8,614,1212,589,389,0,73,124,4,467,1094,701
"Oct 5, 2023",Model_C,820,248,95,3,0,0,1442,1951,1221,457,0,32,214,78,740,1787,827
"Nov 24, 2023",Model_E,237,73,61,3,0,0,275,620,304,192,0,16,64,1,256,580,239
"Nov 27, 2023",Model_C,680,219,1198,5,11,8,1401,2821,981,668,0,57,460,78,953,2621,712
"Oct 26, 2023",Model_D,588,202,66,5,0,2,1738,2209,862,629,0,55,155,287,819,2048,591
"Nov 7, 2023",Model_E,256,79,19,3,0,2,328,697,365,188,0,29,80,0,305,663,257
"Oct 9, 2023",Model_B,858,341,148,0,1,6,744,1461,710,461,0,71,159,14,545,1318,863
"Nov 7, 2023",Model_F,212,63,78,7,0,2,961,1215,662,366,0,39,195,31,432,1126,214
"Nov 11, 2023",Model_F,173,51,82,0,0,4,892,1110,553,338,0,7,130,71,334,1036,173
"Nov 20, 2023",Model_C,802,259,1541,5,14,14,1661,3451,1238,749,0,205,489,80,1195,3168,842
"Oct 30, 2023",Model_F,297,79,64,1,0,6,916,1178,775,297,0,11,205,18,432,1085,297
"Dec 1, 2023",Model_A,1129,368,114,1,1,4,1952,2607,1359,683,0,24,258,328,884,2400,1137
"Nov 11, 2023",Model_C,605,192,84,2,1,2,1252,1643,933,493,0,39,139,84,571,1511,611
"Dec 10, 2023",Model_D,471,167,64,3,0,0,2363,2716,755,461,0,31,139,515,769,2591,471
"Dec 18, 2023",Model_B,691,245,116,2,0,2,540,1061,538,311,0,42,152,8,393,970,696
"Nov 8, 2023",Model_D,590,201,61,2,0,2,1787,2189,861,531,0,41,160,295,822,2015,592
"Sep 2, 2023",Model_D,963,360,781,5,5,11,2017,3323,1292,832,0,256,356,191,1221,2949,991
"Sep 12, 2023",Model_F,386,144,159,2,1,4,1536,1875,815,554,0,26,331,26,663,1744,390
"Oct 30, 2023",Model_C,808,246,98,3,1,13,1405,1937,1318,329,0,68,157,83,705,1777,814
"Sep 30, 2023",Model_A,1438,525,112,2,0,4,2520,3350,2314,551,0,37,318,353,1057,3069,1445
"Sep 14, 2023",Model_E,354,131,48,10,0,2,395,1000,480,288,0,18,109,2,382,933,359
"Nov 13, 2023",Model_B,831,314,208,4,0,6,738,1432,671,417,0,67,154,7,541,1300,844
"Nov 18, 2023",Model_C,794,262,1744,1,8,8,1812,3746,1186,786,0,277,570,124,1284,3436,834
"Nov 16, 2023",Model_E,219,75,85,4,0,2,280,686,332,198,0,47,75,3,279,656,220
"Dec 2, 2023",Model_B,600,238,85,0,0,2,492,915,414,308,0,22,117,3,308,847,607
"Dec 8, 2023",Model_F,142,43,39,2,0,0,625,807,466,228,0,4,70,67,268,759,142
"Dec 21, 2023",Model_C,478,132,57,0,0,6,966,1261,725,355,0,28,117,65,449,1171,480
"Jan 17, 2023",Model_B,965,355,179,4,1,12,1185,1786,920,542,0,13,233,7,608,1650,977
"Aug 29, 2023",Model_F,301,107,134,6,0,6,1351,1757,820,465,0,36,295,22,614,1647,304
"Nov 20, 2023",Model_E,215,60,72,5,0,0,331,719,353,221,0,10,79,2,289,679,216
"Dec 4, 2023",Model_B,620,247,107,1,0,4,509,972,506,256,0,35,132,3,367,886,624
"Nov 4, 2023",Model_E,227,64,30,1,0,0,339,635,307,218,0,1,89,4,237,593,227
"Sep 6, 2023",Model_B,1018,158,215,3,3,17,859,1609,663,590,0,101,185,4,628,1466,1032
"Sep 18, 2023",Model_D,763,292,126,5,1,4,1762,2439,1104,676,0,72,240,151,916,2197,766
"Sep 24, 2023",Model_F,306,154,120,5,0,6,1222,1481,982,58,0,14,267,33,454,1375,313
"Oct 17, 2023",Model_F,271,102,85,3,1,0,915,1195,709,345,0,13,216,29,450,1116,273
"Nov 8, 2023",Model_F,222,58,81,3,0,4,901,1170,678,349,0,19,183,28,402,1089,225
"Nov 11, 2023",Model_A,1320,467,121,3,1,2,2217,3030,1594,956,0,27,306,292,940,2779,1328
"Oct 7, 2023",Model_F,306,108,72,0,0,2,915,1199,750,332,0,10,197,24,386,1111,308
"Dec 19, 2023",Model_B,613,226,107,1,1,2,534,1000,510,275,0,58,147,6,361,907,622
"Apr 21, 2023",Model_C,1056,266,97,2,0,2,984,1593,772,503,0,96,179,9,614,1427,1057
"Apr 25, 2023",Model_A,1632,515,202,3,1,0,2312,3207,2005,830,0,11,343,413,1052,2959,1645
"May 5, 2023",Model_F,406,121,100,9,0,0,1235,1688,912,269,0,130,230,184,562,1563,409
"Sep 5, 2023",Model_F,326,116,169,4,0,2,1635,2041,917,600,0,43,339,35,709,1926,329
"Sep 14, 2023",Model_A,1729,616,211,3,1,2,3065,4088,1902,1644,0,59,394,482,1296,3782,1740
"Sep 21, 2023",Model_A,1556,573,200,4,1,10,2399,3453,2382,545,0,74,352,327,1240,3166,1577
"Oct 3, 2023",Model_C,838,269,127,4,0,2,1352,1955,1203,444,0,55,199,99,790,1776,847
"Apr 24, 2023",Model_A,1703,492,198,2,0,6,2305,3245,1977,898,0,25,305,386,1013,3027,1718
"Jan 25, 2023",Model_A,1749,645,202,3,0,8,2669,3574,2093,1096,0,13,327,99,1132,3298,1761
"Jan 28, 2023",Model_B,1207,439,199,4,1,10,1411,2045,1017,756,0,14,223,9,657,1872,1212
"Jun 28, 2023",Model_D,811,292,131,4,1,8,1662,2196,1156,701,0,42,195,329,788,2010,814
"Sep 1, 2023",Model_A,1676,628,1138,4,4,16,3933,5616,1928,1634,0,1145,632,630,1804,5140,1711
"Dec 26, 2023",Model_D,380,146,88,2,0,4,2889,3211,671,352,0,8,147,812,722,3086,386
"Dec 14, 2023",Model_E,193,66,22,3,0,0,265,547,282,165,0,19,58,1,233,523,194
"Nov 25, 2023",Model_B,618,221,166,2,1,6,498,1057,440,387,0,47,145,2,372,952,623
"Sep 13, 2023",Model_D,649,224,124,3,0,6,1895,2460,1102,524,0,97,325,240,923,2250,651
"Jan 28, 2023",Model_F,302,102,56,5,1,2,845,1087,736,236,0,1,108,109,316,991,306
"Oct 18, 2023",Model_C,843,256,99,1,0,2,1475,2091,1175,566,0,47,208,87,717,1897,846
"Oct 31, 2023",Model_F,283,93,38,3,0,0,766,983,595,253,0,8,175,13,378,920,285
"Mar 17, 2023",Model_A,1717,605,220,4,0,2,2816,3812,1788,1699,0,31,302,164,1239,3485,1729
"Apr 1, 2023",Model_F,366,119,98,6,0,0,1886,2306,1056,469,0,31,201,523,625,2186,366
"Dec 6, 2023",Model_E,231,74,31,3,1,2,267,564,298,154,0,4,67,0,230,528,235
"Apr 25, 2023",Model_D,900,275,137,3,1,8,2050,2645,1281,740,0,80,224,426,1012,2429,904
"Aug 17, 2023",Model_B,1245,468,148,1,1,8,977,1799,799,648,0,108,203,12,647,1622,1257
"Oct 23, 2023",Model_E,267,90,39,3,0,0,416,783,412,283,0,6,59,2,315,740,270
"Oct 26, 2023",Model_B,780,256,133,2,0,9,705,1297,598,436,0,55,164,1,474,1170,784
"Feb 1, 2023",Model_D,1089,442,182,11,1,2,2009,2651,1245,988,0,22,308,70,935,2375,1093
"Oct 29, 2023",Model_F,211,69,55,5,0,3,804,1030,585,327,0,9,181,22,332,962,212
"Mar 24, 2023",Model_C,1230,337,80,3,0,2,1538,2154,1198,551,0,79,230,18,809,1948,1239
"Mar 28, 2023",Model_D,941,324,131,1,0,6,1471,2120,1147,512,0,168,194,53,813,1902,947
"Dec 13, 2023",Model_D,500,156,64,3,0,2,2094,2470,693,396,0,78,148,446,759,2331,503
"Dec 21, 2023",Model_A,1209,414,104,6,0,2,2111,2789,1386,832,0,23,295,343,895,2577,1220
"Feb 8, 2023",Model_B,1059,401,176,5,0,12,1530,2188,856,866,0,50,272,19,729,1994,1066
"Nov 10, 2023",Model_F,227,71,57,2,0,0,928,1164,667,333,0,9,107,104,418,1084,228
"Dec 17, 2023",Model_A,1119,408,126,3,2,13,2116,2739,1384,771,0,12,325,331,768,2546,1130
"Sep 5, 2023",Model_A,1402,512,226,3,0,16,2975,3912,1823,1466,0,268,282,408,1243,3625,1413
"Apr 20, 2023",Model_C,977,231,103,2,2,6,935,1523,663,573,0,85,161,11,593,1390,981
"Oct 29, 2023",Model_C,642,193,98,0,1,0,1403,1816,980,588,0,62,164,88,594,1660,651
"Jan 4, 2023",Model_A,1540,561,172,5,0,8,2294,3124,2689,63,0,27,291,127,990,2863,1548
"Mar 13, 2023",Model_E,243,72,75,3,0,0,1053,1223,844,206,0,17,91,107,434,1153,245
"Apr 4, 2023",Model_E,261,68,77,5,0,4,878,1055,689,203,0,9,138,98,376,983,264
"Apr 10, 2023",Model_E,296,81,71,3,0,0,821,943,707,119,0,5,111,82,298,882,296
"Feb 16, 2023",Model_D,1049,409,224,9,1,6,1884,2616,1221,930,0,204,204,63,929,2334,1056
"Mar 31, 2023",Model_C,1213,292,127,4,0,12,1082,1793,1016,433,0,68,198,16,713,1611,1219
"Dec 7, 2023",Model_A,1175,399,109,1,2,2,2088,2771,1409,808,0,25,290,358,927,2549,1186
"Nov 8, 2023",Model_E,258,67,36,2,0,0,332,680,378,199,0,15,78,4,287,621,258
"Nov 26, 2023",Model_F,124,42,54,1,0,0,568,746,356,271,0,8,79,65,237,691,125
"Dec 24, 2023",Model_A,884,288,84,2,0,0,1751,2270,1062,722,0,9,233,322,623,2121,888
"Nov 19, 2023",Model_A,1449,552,1471,3,4,8,2613,4533,1691,1216,0,130,777,306,1328,4215,1484
"Dec 11, 2023",Model_A,1347,422,97,0,2,0,2222,2944,1491,830,0,34,341,363,996,2717,1362
"Dec 2, 2023",Model_A,1054,398,102,4,0,2,1897,2534,1244,659,0,17,323,298,757,2363,1059
"Nov 29, 2023",Model_D,529,172,226,1,0,4,2168,2731,778,366,0,39,185,488,788,2582,531
"Dec 7, 2023",Model_E,222,66,27,0,0,0,313,601,301,208,0,8,67,1,242,570,223
"Jan 4, 2023",Model_E,274,122,56,8,1,2,774,912,776,12,0,5,97,123,303,882,274
"Apr 5, 2023",Model_A,1975,669,219,7,3,8,2753,3873,2053,1485,0,12,349,495,1240,3528,1991
"Feb 21, 2023",Model_D,952,374,175,4,2,0,1739,2444,1185,796,0,137,217,57,959,2190,958
"Apr 11, 2023",Model_E,212,68,55,6,0,0,820,943,679,119,0,13,122,90,322,879,214
"Mar 2, 2023",Model_F,439,141,168,9,0,0,1812,2222,1093,434,0,387,158,389,784,2064,442
"Apr 17, 2023",Model_F,412,112,105,8,1,4,1386,1891,1087,407,0,36,195,239,668,1731,415
"Jan 12, 2023",Model_B,988,349,187,4,1,2,874,1451,707,509,0,14,170,20,553,1339,991
"Mar 13, 2023",Model_A,1937,685,213,2,0,4,2809,3955,2074,1469,0,48,320,172,1299,3569,1953
"Apr 15, 2023",Model_D,908,299,162,2,2,10,2179,2757,1117,855,0,102,235,411,1030,2530,914
"Apr 22, 2023",Model_C,942,220,124,2,0,4,899,1476,755,448,0,67,161,8,515,1331,950
"Apr 5, 2023",Model_D,1010,383,178,3,1,10,2227,2889,1131,647,0,148,279,430,1034,2642,1014
"Apr 20, 2023",Model_E,242,70,34,0,0,0,901,1020,709,180,0,5,121,112,346,956,242
"Jan 15, 2023",Model_A,1749,695,211,4,0,2,2863,3754,2109,1276,0,15,318,131,1025,3482,1761
"Apr 9, 2023",Model_C,890,268,83,2,0,4,897,1371,595,520,0,34,188,5,496,1265,893
"May 13, 2023",Model_B,913,297,268,2,1,4,906,1679,664,516,0,102,177,11,614,1507,922
"May 20, 2023",Model_F,211,64,78,1,0,2,999,1336,700,303,0,32,159,158,456,1256,213
"Apr 29, 2023",Model_C,888,231,99,2,0,0,824,1352,711,381,0,70,138,4,498,1234,895
"Jun 3, 2023",Model_D,651,225,115,3,0,2,1623,2110,986,552,0,54,194,348,752,1940,653
"May 6, 2023",Model_B,653,233,167,0,3,2,599,1110,487,436,0,56,113,7,368,1008,661
"May 13, 2023",Model_D,1047,356,266,5,1,12,2528,3199,1304,698,0,167,268,267,1094,2917,1052
"Apr 27, 2023",Model_F,333,111,112,4,0,0,1243,1621,984,306,0,27,194,180,583,1516,333
"Oct 10, 2023",Model_D,719,263,94,1,1,4,1966,2490,956,434,0,41,162,313,810,2339,721
"Oct 20, 2023",Model_F,308,111,78,2,0,2,984,1306,754,389,0,17,218,34,481,1200,311
"Nov 16, 2023",Model_F,194,60,119,3,0,0,795,1098,602,258,0,77,76,85,401,1035,194
"May 2, 2023",Model_B,1017,391,152,3,0,12,779,1338,616,491,0,58,142,1,480,1247,1026
"May 9, 2023",Model_F,375,96,85,5,1,4,1258,1716,1002,322,0,58,157,199,657,1587,379
"Jun 14, 2023",Model_E,302,118,51,0,0,6,98,582,338,145,0,9,73,3,265,545,305
"Jan 18, 2023",Model_F,335,130,55,6,0,6,829,1096,793,207,0,6,79,110,405,1004,337
"May 19, 2023",Model_D,908,329,832,3,3,4,2116,3294,1322,795,0,159,250,235,1183,3008,920
"Jun 5, 2023",Model_A,1634,520,196,2,1,8,2371,3267,2089,770,0,19,304,418,1016,3028,1645
"Jan 26, 2023",Model_D,911,364,166,6,0,0,1870,2434,1217,894,0,22,297,58,883,2188,915
"Jul 16, 2023",Model_C,779,225,127,3,1,10,890,1375,580,619,0,30,124,2,487,1262,785
"Dec 25, 2023",Model_F,77,20,23,0,0,0,442,567,283,203,0,1,54,60,166,535,77
"Feb 28, 2023",Model_B,965,378,228,3,0,19,1258,1919,1036,483,0,110,188,10,683,1762,967
"Jan 24, 2023",Model_F,379,112,69,4,0,0,918,1187,867,226,0,7,89,120,417,1107,380
"Jul 23, 2023",Model_F,309,90,205,0,1,0,1857,2124,918,782,0,25,177,246,688,1985,311
"Jul 26, 2023",Model_F,378,120,249,8,0,0,2005,2349,1070,652,0,84,184,249,779,2193,380
"Sep 23, 2023",Model_A,1352,519,161,4,0,5,2242,3122,2380,210,0,53,344,278,965,2858,1365
"May 2, 2023",Model_F,358,131,97,5,1,4,1211,1583,855,340,0,30,206,167,578,1468,361
"May 18, 2023",Model_B,167,0,659,4,1,4,919,1904,760,618,0,119,211,11,687,1771,185
"Aug 26, 2023",Model_A,1311,547,793,2,1,4,2758,4079,1672,1539,0,121,394,379,1254,3727,1332
"Apr 8, 2023",Model_F,251,76,95,11,0,0,1033,1305,741,279,0,12,197,123,402,1206,251
