date,Useable Date,model,start_configuration,complete_configuration,finance_calculator_visits,test_drives_submitted,finance_calc_leads_submitted,request_a_quote_form_submitted,car_model_visits,visits,natural_search_visits,paid_search_visits,paid_social_visits,email_visits,direct_visits,bounces,return_visitors,unique_visitors,Engine Type
"Aug 16, 2024",2024-08-16,Model_D,769,348,201,5,0,2,1826,2327,751,1174,157,67,216,65,876,2131,ICE
"Aug 20, 2024",2024-08-20,Model_D,956,409,228,8,0,17,2160,2692,872,1189,320,93,234,71,1022,2481,ICE
"Aug 24, 2024",2024-08-24,Model_D,856,353,470,7,0,6,1636,2493,951,812,278,244,229,54,912,2223,ICE
"Aug 28, 2024",2024-08-28,Model_D,698,275,403,14,0,6,1491,2215,879,783,256,98,199,55,795,2017,ICE
"Sep 1, 2024",2024-09-01,Model_D,629,254,353,9,0,0,1311,1958,748,710,193,90,227,36,682,1782,ICE
"Sep 5, 2024",2024-09-05,Model_D,611,226,221,7,0,6,1452,1976,690,903,99,86,205,61,723,1811,ICE
"Sep 9, 2024",2024-09-09,Model_D,634,243,170,11,0,4,1526,1968,650,982,115,65,180,61,757,1833,ICE
"Sep 13, 2024",2024-09-13,Model_D,551,213,187,17,0,8,1444,1899,617,937,124,60,169,59,749,1768,ICE
"Sep 17, 2024",2024-09-17,Model_D,582,223,197,13,0,8,1588,2052,612,1073,141,56,165,48,799,1933,ICE
"Sep 21, 2024",2024-09-21,Model_D,691,278,164,14,0,10,1597,2069,646,1065,139,28,223,60,756,1878,ICE
"Sep 25, 2024",2024-09-25,Model_D,657,247,179,16,0,2,1518,1969,631,1006,130,62,183,66,756,1826,ICE
"Sep 29, 2024",2024-09-29,Model_D,769,307,194,12,0,6,1665,2186,661,1162,124,54,240,54,765,2006,ICE
"Oct 3, 2024",2024-10-03,Model_D,500,188,115,8,0,2,1316,1653,543,808,126,30,161,33,667,1532,ICE
"Oct 7, 2024",2024-10-07,Model_D,546,205,120,7,0,7,1541,1954,662,817,252,62,182,54,706,1829,ICE
"Oct 11, 2024",2024-10-11,Model_D,552,226,90,17,0,6,1392,1748,634,812,124,59,147,53,615,1618,ICE
"Oct 15, 2024",2024-10-15,Model_D,561,224,123,15,0,4,1448,1861,671,799,149,57,202,44,699,1698,ICE
"Oct 19, 2024",2024-10-19,Model_D,548,215,130,14,0,2,1471,1853,581,751,266,47,203,52,678,1710,ICE
"Oct 23, 2024",2024-10-23,Model_D,478,191,148,9,0,4,1336,1697,575,644,288,55,142,60,625,1589,ICE
"Jul 14, 2024",2024-07-14,Model_E,171,74,80,4,0,2,735,991,444,232,185,11,173,12,335,954,BEV
"Jul 18, 2024",2024-07-18,Model_E,249,95,111,18,0,14,913,1281,658,307,175,13,181,33,455,1191,BEV
"Jul 22, 2024",2024-07-22,Model_E,346,109,115,5,0,2,880,1288,704,289,111,20,253,12,508,1183,BEV
"Jul 26, 2024",2024-07-26,Model_E,337,92,68,7,0,2,864,1195,608,320,115,11,209,22,456,1116,BEV
"Jul 30, 2024",2024-07-30,Model_E,288,73,68,4,0,4,898,1225,650,276,143,15,224,32,455,1132,BEV
"Aug 3, 2024",2024-08-03,Model_E,264,83,82,8,0,4,826,1160,597,280,113,11,218,32,394,1068,BEV
"Aug 7, 2024",2024-08-07,Model_E,361,98,92,7,0,2,956,1427,724,385,99,18,302,26,515,1312,BEV
"Aug 11, 2024",2024-08-11,Model_E,269,85,69,3,0,2,934,1262,585,366,155,13,224,26,387,1196,BEV
"Aug 15, 2024",2024-08-15,Model_E,396,114,104,17,0,2,1070,1572,808,409,132,41,251,35,607,1438,BEV
"Aug 19, 2024",2024-08-19,Model_E,437,116,89,15,0,5,987,1459,824,339,108,21,221,23,593,1350,BEV
"Aug 23, 2024",2024-08-23,Model_E,339,114,99,6,0,4,935,1357,692,310,133,50,232,17,549,1259,BEV
"Aug 27, 2024",2024-08-27,Model_E,428,123,129,11,0,0,1116,1638,898,369,103,36,313,25,660,1495,BEV
"Aug 31, 2024",2024-08-31,Model_E,381,124,93,15,0,2,890,1300,661,285,132,18,272,22,463,1185,BEV
"Sep 4, 2024",2024-09-04,Model_E,435,128,107,13,0,0,1039,1497,828,372,116,29,223,28,614,1364,BEV
"Sep 8, 2024",2024-09-08,Model_E,396,139,113,16,0,4,976,1401,670,440,105,11,268,28,519,1281,BEV
"Sep 12, 2024",2024-09-12,Model_E,413,133,109,15,0,4,1030,1480,755,377,144,30,254,36,576,1348,BEV
"Sep 16, 2024",2024-09-16,Model_E,447,155,94,12,0,4,1065,1512,811,408,130,20,233,38,608,1384,BEV
"Sep 20, 2024",2024-09-20,Model_E,407,127,86,15,0,2,990,1477,722,368,156,38,267,41,588,1354,BEV
"Sep 24, 2024",2024-09-24,Model_E,320,118,69,14,0,4,863,1263,691,312,83,23,217,28,542,1163,BEV
"Sep 28, 2024",2024-09-28,Model_E,282,94,72,9,0,0,817,1176,527,341,140,17,212,15,405,1096,BEV
"Oct 2, 2024",2024-10-02,Model_E,482,158,80,15,0,2,1019,1510,668,440,170,23,248,29,611,1352,BEV
"Oct 6, 2024",2024-10-06,Model_E,430,141,110,17,0,2,1239,1738,672,713,163,20,232,52,683,1601,BEV
"Oct 10, 2024",2024-10-10,Model_E,554,170,108,17,0,0,1097,1703,783,612,62,34,260,36,701,1546,BEV
"Oct 14, 2024",2024-10-14,Model_E,430,129,96,17,0,2,1221,1663,804,627,62,23,329,12,693,1526,BEV
"Oct 18, 2024",2024-10-18,Model_E,573,237,508,29,0,12,1336,2361,778,622,311,431,382,8,964,2182,BEV
"Oct 22, 2024",2024-10-22,Model_E,456,145,271,11,0,4,933,1581,782,335,205,28,310,0,684,1408,BEV
"Oct 26, 2024",2024-10-26,Model_E,428,169,237,16,0,4,761,1384,635,416,139,32,238,4,539,1247,BEV
"Oct 27, 2024",2024-10-27,Model_D,0,0,0,2,0,2,1443,1459,579,625,168,15,332,3,512,1357,ICE
"Oct 31, 2024",2024-10-31,Model_D,489,203,129,12,0,0,1193,1506,573,572,184,31,141,53,572,1398,ICE
"Nov 4, 2024",2024-11-04,Model_D,519,199,110,13,0,2,949,1295,667,389,14,33,179,34,472,1204,ICE
"Nov 8, 2024",2024-11-08,Model_D,489,182,113,9,0,2,1092,1482,592,528,147,33,164,49,569,1357,ICE
"Nov 12, 2024",2024-11-12,Model_D,518,191,124,8,0,2,1082,1463,562,517,182,34,167,38,553,1359,ICE
"Nov 16, 2024",2024-11-16,Model_D,454,154,104,10,0,0,1216,1519,514,638,216,31,155,38,548,1388,ICE
"Jan 4, 2024",2024-01-04,Model_F,413,106,356,14,0,0,1135,1829,920,485,146,25,247,125,602,1677,BEV
"Jan 8, 2024",2024-01-08,Model_F,390,80,437,10,0,0,973,1737,880,523,96,26,216,84,614,1608,BEV
"Jan 12, 2024",2024-01-12,Model_F,307,80,604,6,0,0,954,1890,898,656,111,33,193,96,615,1783,BEV
"Jan 16, 2024",2024-01-16,Model_F,305,59,598,8,0,0,861,1749,794,632,55,33,223,78,591,1637,BEV
"Jan 20, 2024",2024-01-20,Model_F,252,63,436,10,0,0,822,1568,737,592,61,37,148,88,480,1454,BEV
"Jan 24, 2024",2024-01-24,Model_F,293,78,440,7,0,0,786,1507,741,574,52,7,135,65,518,1429,BEV
"Jan 28, 2024",2024-01-28,Model_F,277,69,0,5,0,0,738,985,607,258,26,12,99,43,303,893,BEV
"Feb 1, 2024",2024-02-01,Model_F,376,98,0,8,0,2,1197,1572,715,339,339,9,172,89,587,1455,BEV
"Feb 5, 2024",2024-02-05,Model_F,305,117,1,11,0,0,1238,1585,741,438,221,16,204,32,604,1462,BEV
"Feb 9, 2024",2024-02-09,Model_F,304,102,0,10,0,0,1422,1730,681,472,211,163,167,49,598,1627,BEV
"Feb 13, 2024",2024-02-13,Model_F,279,74,0,13,0,0,1299,1569,647,581,169,68,183,36,555,1480,BEV
"Feb 17, 2024",2024-02-17,Model_F,254,89,0,9,0,0,1097,1361,534,497,210,14,171,41,434,1269,BEV
"Feb 21, 2024",2024-02-21,Model_F,266,89,0,5,0,5,933,1253,726,289,121,16,113,46,486,1156,BEV
"Feb 25, 2024",2024-02-25,Model_F,221,66,0,9,0,0,1288,1523,557,287,560,7,118,64,451,1421,BEV
"Feb 29, 2024",2024-02-29,Model_F,274,79,0,8,0,0,1113,1403,744,233,264,42,133,72,484,1310,BEV
"Mar 4, 2024",2024-03-04,Model_F,263,75,0,8,0,0,1040,1365,663,347,229,16,125,69,503,1255,BEV
"Mar 8, 2024",2024-03-08,Model_F,274,78,104,19,0,4,1075,1403,670,327,262,15,124,54,474,1308,BEV
"Mar 12, 2024",2024-03-12,Model_F,288,85,137,15,0,2,1095,1495,759,365,256,22,110,74,552,1374,BEV
"Mar 16, 2024",2024-03-16,Model_F,223,69,51,7,0,0,1043,1325,646,404,192,10,106,75,438,1232,BEV
"Mar 20, 2024",2024-03-20,Model_F,240,67,59,8,0,4,1001,1289,609,318,229,2,140,58,436,1206,BEV
"Jul 12, 2024",2024-07-12,Model_D,403,172,172,7,0,0,1437,1822,634,821,157,62,166,44,690,1686,ICE
"Jul 16, 2024",2024-07-16,Model_D,674,250,279,8,0,4,1623,2246,788,924,186,156,193,41,845,2086,ICE
"Jul 20, 2024",2024-07-20,Model_D,661,266,250,7,0,5,1902,2489,809,1185,175,102,232,49,841,2309,ICE
"Jul 24, 2024",2024-07-24,Model_D,669,261,232,10,0,10,1629,2177,794,913,174,99,205,55,820,2002,ICE
"Jul 28, 2024",2024-07-28,Model_D,622,245,201,7,0,4,1657,2122,684,1075,148,33,202,63,793,1970,ICE
"Aug 1, 2024",2024-08-01,Model_D,624,235,212,6,0,10,1658,2164,736,1027,175,53,178,73,822,2020,ICE
"Aug 5, 2024",2024-08-05,Model_D,645,226,203,3,0,3,1599,2131,717,971,131,75,232,61,807,1962,ICE
"Aug 9, 2024",2024-08-09,Model_D,704,250,185,3,0,8,1664,2231,792,1011,136,86,217,79,808,2022,ICE
"Aug 13, 2024",2024-08-13,Model_D,707,276,187,4,0,4,1785,2323,819,1046,161,86,230,86,845,2151,ICE
"Aug 17, 2024",2024-08-17,Model_D,754,312,205,6,0,7,1766,2292,728,1145,133,86,227,57,856,2067,ICE
"Aug 21, 2024",2024-08-21,Model_D,1122,507,344,14,0,23,2811,3474,891,1180,411,737,286,69,1201,3232,ICE
"Aug 25, 2024",2024-08-25,Model_D,757,312,412,9,0,7,1505,2241,846,812,277,113,203,60,799,2020,ICE
"Aug 29, 2024",2024-08-29,Model_D,731,300,448,15,0,12,1622,2367,814,743,205,380,254,56,834,2160,ICE
"Sep 2, 2024",2024-09-02,Model_D,692,232,220,19,0,4,1470,2013,847,707,163,115,211,47,721,1861,ICE
"Sep 6, 2024",2024-09-06,Model_D,612,228,168,11,0,0,1453,1889,626,949,114,49,164,59,696,1730,ICE
"Sep 10, 2024",2024-09-10,Model_D,647,225,202,11,0,15,1544,2045,646,1024,110,134,166,46,790,1890,ICE
"Sep 14, 2024",2024-09-14,Model_D,639,246,189,19,0,10,1369,1879,643,866,118,80,197,62,690,1686,ICE
"Sep 18, 2024",2024-09-18,Model_D,558,214,161,10,0,0,1411,1837,591,981,13,69,185,62,695,1700,ICE
"Sep 22, 2024",2024-09-22,Model_D,639,281,104,5,0,6,1663,2027,639,1058,130,12,229,58,718,1850,ICE
"Sep 26, 2024",2024-09-26,Model_D,644,237,178,15,0,8,1422,1921,611,936,145,60,198,54,726,1763,ICE
"Sep 30, 2024",2024-09-30,Model_D,632,240,174,10,0,6,1532,2005,711,958,119,45,195,46,783,1846,ICE
"Oct 4, 2024",2024-10-04,Model_D,510,192,115,8,0,0,1494,1829,638,683,293,72,164,61,647,1693,ICE
"Oct 8, 2024",2024-10-08,Model_D,517,209,116,16,0,4,1497,1853,569,801,271,47,183,51,690,1741,ICE
"Oct 12, 2024",2024-10-12,Model_D,583,233,124,9,0,0,1520,1925,651,898,147,27,227,61,649,1764,ICE
"Oct 16, 2024",2024-10-16,Model_D,533,201,116,17,0,5,1251,1645,633,659,161,44,154,63,588,1501,ICE
"Oct 20, 2024",2024-10-20,Model_D,543,217,156,6,0,2,1566,1927,620,818,278,42,187,64,677,1789,ICE
"Oct 24, 2024",2024-10-24,Model_D,454,159,123,9,0,0,1298,1634,571,628,235,52,156,64,625,1520,ICE
"Oct 30, 2024",2024-10-30,Model_E,385,128,206,11,0,7,775,1332,647,301,116,76,259,7,536,1198,BEV
"Nov 3, 2024",2024-11-03,Model_E,382,157,265,13,0,0,821,1325,606,336,156,39,261,6,512,1196,BEV
"Nov 7, 2024",2024-11-07,Model_E,417,154,208,14,0,6,895,1454,728,316,111,62,297,5,604,1308,BEV
"Nov 11, 2024",2024-11-11,Model_E,497,156,195,24,0,6,1029,1660,819,385,161,56,307,11,681,1446,BEV
"Nov 15, 2024",2024-11-15,Model_E,403,126,201,12,0,0,850,1420,672,320,100,112,277,7,593,1280,BEV
"Nov 19, 2024",2024-11-19,Model_E,3,1,1,0,0,0,13,19,5,7,0,1,7,0,10,19,BEV
"Jan 3, 2024",2024-01-03,Model_D,713,231,94,20,0,6,1686,2254,1068,642,277,36,218,254,793,2060,ICE
"Jan 7, 2024",2024-01-07,Model_D,772,288,886,17,0,2,1547,2907,1047,808,629,49,412,123,908,2705,ICE
"Jan 11, 2024",2024-01-11,Model_D,875,293,770,21,0,8,1596,2952,1162,729,542,176,349,125,1057,2752,ICE
"Jan 15, 2024",2024-01-15,Model_D,841,279,818,22,1,10,1519,2950,1243,710,535,71,383,119,1120,2734,ICE
"Jan 19, 2024",2024-01-19,Model_D,815,285,717,23,0,8,1622,3090,1132,765,487,322,360,135,1117,2897,ICE
"Jan 23, 2024",2024-01-23,Model_D,850,270,711,18,0,2,1476,2795,1105,793,428,88,374,110,1061,2591,ICE
"Jan 27, 2024",2024-01-27,Model_D,794,262,1,13,0,2,1503,1954,981,611,91,46,197,86,644,1815,ICE
"Jan 31, 2024",2024-01-31,Model_D,818,294,0,20,0,4,1330,1832,1058,441,54,62,193,89,737,1664,ICE
"Feb 4, 2024",2024-02-04,Model_D,913,332,1,18,0,2,1588,2078,1132,593,35,64,241,100,725,1890,ICE
"Feb 8, 2024",2024-02-08,Model_D,1448,561,0,26,0,4,3582,4328,1337,1340,326,1032,382,87,1513,3985,ICE
"Feb 12, 2024",2024-02-12,Model_D,1222,339,1,26,0,4,2675,3361,1252,1470,267,187,366,58,1351,3043,ICE
"Feb 16, 2024",2024-02-16,Model_D,1281,457,1,32,0,2,2493,3276,1338,1000,239,441,384,76,1249,2909,ICE
"Feb 20, 2024",2024-02-20,Model_D,1064,360,0,19,0,6,2344,2953,1048,890,680,89,257,76,1143,2691,ICE
"Feb 24, 2024",2024-02-24,Model_D,741,112,0,16,0,2,2042,2494,931,954,333,56,243,62,945,2296,ICE
"Feb 28, 2024",2024-02-28,Model_D,1144,383,0,19,0,8,2911,3467,887,936,337,1111,253,154,1383,3186,ICE
"Mar 3, 2024",2024-03-03,Model_D,528,22,0,17,0,4,1833,2174,820,846,287,70,190,55,784,2049,ICE
"Mar 7, 2024",2024-03-07,Model_D,811,295,217,15,0,2,1751,2376,932,849,295,82,217,79,901,2170,ICE
"Mar 11, 2024",2024-03-11,Model_D,865,321,205,11,0,4,1853,2462,938,976,249,71,226,56,981,2242,ICE
"Mar 15, 2024",2024-03-15,Model_D,962,339,151,8,0,4,1930,2579,936,1104,216,81,269,78,980,2323,ICE
"Mar 19, 2024",2024-03-19,Model_D,871,316,184,9,0,0,1926,2459,970,1087,156,26,259,93,924,2252,ICE
"Mar 23, 2024",2024-03-23,Model_D,866,312,163,13,0,0,2143,2661,848,1432,198,6,247,89,939,2447,ICE
"Oct 28, 2024",2024-10-28,Model_D,0,0,177,6,0,15,1479,1643,627,696,200,35,327,13,608,1534,ICE
"Nov 1, 2024",2024-11-01,Model_D,473,182,100,13,0,2,958,1285,583,469,53,29,151,43,467,1169,ICE
"Nov 5, 2024",2024-11-05,Model_D,565,215,93,18,0,2,1251,1623,631,527,230,54,168,54,585,1513,ICE
"Nov 9, 2024",2024-11-09,Model_D,573,238,114,15,0,2,1145,1515,599,526,184,41,162,50,555,1380,ICE
"Nov 13, 2024",2024-11-13,Model_D,450,170,84,7,0,4,998,1319,557,488,92,55,137,42,490,1222,ICE
"Nov 17, 2024",2024-11-17,Model_D,435,184,96,11,0,0,1104,1384,509,509,190,14,182,53,460,1293,ICE
"Jan 1, 2024",2024-01-01,Model_F,264,77,30,2,0,0,794,1047,577,292,22,1,165,60,306,945,BEV
"Jan 5, 2024",2024-01-05,Model_F,400,103,404,11,0,2,1050,1826,918,562,101,17,227,91,610,1686,BEV
"Jan 9, 2024",2024-01-09,Model_F,315,76,589,4,0,0,914,1821,840,575,162,28,212,96,631,1732,BEV
"Jan 13, 2024",2024-01-13,Model_F,310,66,631,7,0,0,873,1846,812,727,92,23,199,84,555,1717,BEV
"Jan 17, 2024",2024-01-17,Model_F,292,67,633,7,0,0,818,1729,777,702,53,15,170,74,621,1645,BEV
"Jan 21, 2024",2024-01-21,Model_F,269,60,410,9,0,0,755,1441,654,559,59,14,159,49,413,1350,BEV
"Jan 25, 2024",2024-01-25,Model_F,321,77,93,17,0,0,834,1226,778,290,29,11,121,73,446,1111,BEV
"Jan 29, 2024",2024-01-29,Model_F,261,64,0,9,0,2,727,981,603,232,19,9,101,46,383,906,BEV
"Feb 2, 2024",2024-02-02,Model_F,378,102,0,6,0,0,1081,1486,700,364,229,9,192,101,549,1374,BEV
"Feb 6, 2024",2024-02-06,Model_F,311,113,0,12,0,0,1395,1697,694,581,265,9,218,44,572,1586,BEV
"Feb 10, 2024",2024-02-10,Model_F,289,99,0,11,0,0,1551,1817,648,805,220,23,208,57,575,1707,BEV
"Feb 14, 2024",2024-02-14,Model_F,279,106,0,14,0,0,1343,1623,672,615,196,35,188,39,579,1531,BEV
"Feb 18, 2024",2024-02-18,Model_F,219,84,0,14,0,0,1283,1543,587,676,170,11,188,41,496,1454,BEV
"Feb 22, 2024",2024-02-22,Model_F,272,73,0,11,0,0,1433,1724,817,474,303,30,118,54,550,1607,BEV
"Feb 26, 2024",2024-02-26,Model_F,225,48,0,4,0,0,1115,1356,591,237,422,12,95,75,474,1283,BEV
"Mar 1, 2024",2024-03-01,Model_F,304,83,0,10,0,2,1072,1366,704,329,208,16,130,46,493,1255,BEV
"Mar 5, 2024",2024-03-05,Model_F,298,79,65,15,0,0,1054,1402,697,369,231,14,110,59,494,1300,BEV
"Mar 9, 2024",2024-03-09,Model_F,232,72,100,8,0,4,1110,1400,601,440,244,6,128,53,415,1311,BEV
"Mar 13, 2024",2024-03-13,Model_F,271,81,92,7,0,0,1096,1442,710,357,248,17,121,83,518,1347,BEV
"Mar 17, 2024",2024-03-17,Model_F,214,73,77,7,0,0,977,1302,612,378,213,13,97,58,440,1224,BEV
"Mar 21, 2024",2024-03-21,Model_F,246,77,65,12,0,0,1020,1319,635,367,214,9,95,68,458,1231,BEV
"Mar 24, 2024",2024-03-24,Model_F,204,61,66,5,0,2,1022,1327,606,377,262,6,95,84,431,1240,BEV
"Mar 28, 2024",2024-03-28,Model_F,272,66,63,9,0,0,1090,1373,628,359,210,9,159,79,462,1271,BEV
"Apr 1, 2024",2024-04-01,Model_F,445,121,44,11,0,4,994,1329,719,421,7,12,188,58,474,1181,BEV
"Apr 5, 2024",2024-04-05,Model_F,338,103,43,5,0,0,806,1141,712,256,0,9,154,43,451,1017,BEV
"Apr 9, 2024",2024-04-09,Model_F,342,104,52,9,0,0,1023,1345,660,381,81,30,162,63,502,1215,BEV
"Apr 13, 2024",2024-04-13,Model_F,195,80,44,6,0,8,640,878,357,282,46,2,119,74,308,818,BEV
"Apr 17, 2024",2024-04-17,Model_F,309,94,34,8,0,4,998,1288,626,408,73,6,154,74,480,1180,BEV
"Apr 21, 2024",2024-04-21,Model_F,264,80,34,7,0,5,786,1032,446,364,59,2,132,77,335,961,BEV
"Apr 25, 2024",2024-04-25,Model_F,309,83,32,9,0,0,997,1291,640,357,95,11,183,68,485,1190,BEV
"Apr 29, 2024",2024-04-29,Model_F,276,73,49,6,0,2,981,1299,675,306,88,27,192,63,500,1170,BEV
"May 3, 2024",2024-05-03,Model_F,398,105,41,9,0,0,1147,1526,701,305,274,14,201,97,529,1394,BEV
"May 7, 2024",2024-05-07,Model_F,292,82,67,8,0,0,1095,1504,663,299,292,23,207,101,541,1404,BEV
"May 11, 2024",2024-05-11,Model_F,195,66,32,7,0,0,813,1040,434,279,137,5,167,66,355,945,BEV
"May 15, 2024",2024-05-15,Model_F,384,110,72,9,0,4,1102,1487,684,299,157,134,177,67,543,1352,BEV
"May 19, 2024",2024-05-19,Model_F,244,79,44,7,0,0,625,929,457,244,79,3,130,45,313,840,BEV
"May 23, 2024",2024-05-23,Model_F,324,80,60,8,0,8,886,1237,703,218,55,84,148,51,465,1129,BEV
"May 27, 2024",2024-05-27,Model_F,256,68,41,7,0,6,820,1101,568,288,41,7,119,80,381,1013,BEV
"May 31, 2024",2024-05-31,Model_F,313,94,49,8,0,0,1198,1492,654,245,385,11,157,106,500,1382,BEV
"Jun 4, 2024",2024-06-04,Model_F,342,101,53,11,0,4,1082,1389,591,361,241,9,158,71,524,1285,BEV
"Jun 8, 2024",2024-06-08,Model_F,297,92,54,3,0,0,901,1203,468,345,190,0,185,43,397,1083,BEV
"Jun 12, 2024",2024-06-12,Model_F,326,100,125,3,0,0,965,1271,602,290,188,4,173,36,461,1156,BEV
"Jun 16, 2024",2024-06-16,Model_F,236,68,94,4,0,4,909,1142,418,297,194,71,148,36,394,1072,BEV
"Jun 20, 2024",2024-06-20,Model_F,293,96,104,11,0,2,905,1158,496,298,165,25,164,61,417,1071,BEV
"Jun 24, 2024",2024-06-24,Model_F,305,92,138,8,0,2,1179,1538,499,301,523,21,177,44,513,1430,BEV
"Jun 28, 2024",2024-06-28,Model_F,308,86,122,6,0,2,1115,1434,443,344,499,12,121,57,482,1328,BEV
"Jul 2, 2024",2024-07-02,Model_F,348,109,208,10,0,8,1024,1441,635,365,276,5,162,31,526,1331,BEV
"Jul 6, 2024",2024-07-06,Model_F,276,75,134,8,0,2,1053,1368,513,353,374,1,140,44,463,1262,BEV
"Mar 25, 2024",2024-03-25,Model_F,258,87,51,3,0,2,1050,1341,653,357,226,9,104,89,484,1241,BEV
"Mar 29, 2024",2024-03-29,Model_F,234,74,62,8,0,4,1052,1298,578,379,234,8,118,72,417,1220,BEV
"Apr 2, 2024",2024-04-02,Model_F,447,120,59,9,0,2,1172,1527,806,533,2,17,181,85,619,1336,BEV
"Apr 6, 2024",2024-04-06,Model_F,288,93,58,5,0,2,745,1037,631,253,3,7,140,56,355,942,BEV
"Apr 10, 2024",2024-04-10,Model_F,324,114,53,9,0,2,943,1233,556,333,83,21,161,73,498,1151,BEV
"Apr 14, 2024",2024-04-14,Model_F,189,77,34,4,0,0,615,837,308,275,49,2,108,63,302,793,BEV
"Apr 18, 2024",2024-04-18,Model_F,327,98,38,9,0,0,958,1251,617,429,43,4,136,62,493,1135,BEV
"Apr 22, 2024",2024-04-22,Model_F,329,92,43,7,0,0,1036,1350,659,436,68,9,148,70,484,1236,BEV
"Apr 26, 2024",2024-04-26,Model_F,287,78,42,9,0,6,999,1288,630,384,103,13,149,81,451,1195,BEV
"Apr 30, 2024",2024-04-30,Model_F,289,91,46,12,0,2,952,1252,622,328,86,26,183,53,482,1131,BEV
"May 4, 2024",2024-05-04,Model_F,304,101,59,5,0,0,1216,1601,594,371,354,65,210,87,499,1478,BEV
"May 8, 2024",2024-05-08,Model_F,343,99,61,11,0,2,1138,1526,681,304,305,31,185,75,535,1418,BEV
"May 12, 2024",2024-05-12,Model_F,242,86,47,6,0,0,771,1012,447,274,134,3,154,54,350,943,BEV
"May 16, 2024",2024-05-16,Model_F,356,104,54,13,0,2,1113,1485,729,271,189,84,181,72,552,1376,BEV
"May 20, 2024",2024-05-20,Model_F,374,97,46,9,0,0,974,1364,808,266,95,18,160,67,516,1219,BEV
"May 24, 2024",2024-05-24,Model_F,284,87,39,14,0,8,852,1140,597,242,62,43,129,79,414,1052,BEV
"May 28, 2024",2024-05-28,Model_F,283,83,46,8,0,4,826,1118,620,221,56,13,136,91,431,1024,BEV
"Jun 1, 2024",2024-06-01,Model_F,263,86,40,6,0,0,1065,1319,500,275,327,3,172,97,413,1212,BEV
"Jun 5, 2024",2024-06-05,Model_F,355,85,56,3,0,0,982,1333,653,282,196,7,166,57,483,1205,BEV
"Jun 9, 2024",2024-06-09,Model_F,306,85,65,0,0,2,978,1277,494,348,212,3,177,46,421,1169,BEV
"Jun 13, 2024",2024-06-13,Model_F,482,159,1085,6,0,0,3944,4305,573,303,180,2963,339,176,1084,4054,BEV
"Jun 17, 2024",2024-06-17,Model_F,296,89,77,11,0,0,983,1255,544,298,199,51,151,48,458,1152,BEV
"Jun 21, 2024",2024-06-21,Model_F,299,83,96,10,0,2,1082,1364,535,304,393,8,105,52,457,1265,BEV
"Jun 25, 2024",2024-06-25,Model_F,318,113,115,12,0,2,1200,1556,518,322,493,5,177,69,506,1455,BEV
"Jun 29, 2024",2024-06-29,Model_F,285,101,108,8,0,0,1168,1456,423,368,505,7,156,47,433,1336,BEV
"Jul 3, 2024",2024-07-03,Model_F,394,113,196,10,0,9,1086,1501,671,296,386,8,149,70,543,1389,BEV
"Jul 7, 2024",2024-07-07,Model_F,332,101,186,12,0,8,1222,1583,655,344,435,2,166,41,527,1466,BEV
"Mar 27, 2024",2024-03-27,Model_D,843,288,150,9,0,4,1895,2408,838,1244,131,14,211,79,878,2219,ICE
"Mar 31, 2024",2024-03-31,Model_D,593,229,0,7,0,6,1507,1784,697,839,108,3,169,64,636,1640,ICE
"Apr 4, 2024",2024-04-04,Model_D,714,244,161,10,0,8,1480,1924,830,826,3,15,239,55,724,1754,ICE
"Apr 8, 2024",2024-04-08,Model_D,476,77,167,12,0,6,1526,1955,866,807,6,28,253,43,735,1807,ICE
"Apr 12, 2024",2024-04-12,Model_D,510,79,129,7,0,5,1357,1742,735,721,9,16,194,84,651,1645,ICE
"Apr 16, 2024",2024-04-16,Model_D,573,109,198,6,0,3,1559,2104,827,759,278,16,252,78,829,1945,ICE
"Apr 20, 2024",2024-04-20,Model_D,627,245,129,7,0,2,1371,1806,757,792,28,4,218,75,637,1655,ICE
"Apr 24, 2024",2024-04-24,Model_D,644,242,174,8,0,2,1478,1996,822,799,24,129,226,73,732,1839,ICE
"Apr 28, 2024",2024-04-28,Model_D,761,276,192,4,0,4,1595,2138,951,862,67,9,261,82,727,1939,ICE
"May 2, 2024",2024-05-02,Model_D,606,222,157,11,0,10,1372,1850,944,680,20,18,220,78,699,1669,ICE
"May 6, 2024",2024-05-06,Model_D,625,264,167,12,0,2,1368,1867,832,775,18,25,241,73,674,1699,ICE
"May 10, 2024",2024-05-10,Model_D,500,189,137,4,0,4,1054,1545,682,569,19,11,258,53,589,1398,ICE
"May 14, 2024",2024-05-14,Model_D,789,275,191,12,0,10,1622,2237,830,857,218,62,283,61,825,2047,ICE
"May 18, 2024",2024-05-18,Model_D,678,241,150,11,0,12,1310,1872,747,662,149,30,281,55,652,1665,ICE
"May 22, 2024",2024-05-22,Model_D,741,275,152,6,0,12,1398,2010,878,673,164,44,245,50,752,1816,ICE
"May 26, 2024",2024-05-26,Model_D,674,267,134,4,0,4,1450,1927,739,808,112,24,245,73,656,1737,ICE
"May 30, 2024",2024-05-30,Model_D,616,220,120,11,0,6,1327,1782,776,726,8,18,247,76,639,1604,ICE
"Jun 3, 2024",2024-06-03,Model_D,582,202,161,10,0,6,1329,1821,887,639,12,15,275,69,668,1662,ICE
